time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2017-04-19T00:00:00Z,1.67,1.695,1.66,1.66,17494,60128.85,154938741,93336581
2017-04-20T00:00:00Z,1.66,1.695,1.66,1.695,21796,58809.35,158205507,93336581
2017-04-21T00:00:00Z,1.695,1.76,1.695,1.725,261596,65436.95,161005613,93336581
2017-04-24T00:00:00Z,1.725,1.73,1.7,1.7,44485,65648.4,158672201,93336581
2017-04-26T00:00:00Z,1.72,1.725,1.65,1.7,64491,64016.8,158672201,93336581
2017-04-27T00:00:00Z,1.68,1.73,1.68,1.72,29117,60861.05,160538931,93336581
2017-04-28T00:00:00Z,1.715,1.75,1.64,1.68,159657,64209.1,156805471,93336581
2017-05-01T00:00:00Z,1.65,1.65,1.64,1.64,39809,62942.2,153072000,93336581
2017-05-02T00:00:00Z,1.66,1.73,1.66,1.73,43368,62577.15,161472296,93336581
2017-05-03T00:00:00Z,1.725,1.725,1.66,1.66,5110,62659.6,154938741,93336581
2017-05-04T00:00:00Z,1.66,1.66,1.65,1.65,69867,63793.55,154005365,93336581
2017-05-05T00:00:00Z,1.7,1.7,1.665,1.665,7696,57296.15,155405412,93336581
2017-05-08T00:00:00Z,1.665,1.665,1.665,1.665,4373,56815.7,155405412,93336581
2017-05-10T00:00:00Z,1.67,1.68,1.65,1.68,250420,67527.8,156805471,93336581
2017-05-11T00:00:00Z,1.67,1.67,1.63,1.63,56170,65320.2,152138635,93336581
2017-05-12T00:00:00Z,1.63,1.63,1.55,1.6,35730,63069.9,149338540,93336581
2017-05-15T00:00:00Z,1.6,1.6,1.465,1.55,37867,64319.7,144671704,93336581
2017-05-16T00:00:00Z,1.555,1.555,1.55,1.55,21161,64906.85,144671704,93336581
2017-05-17T00:00:00Z,1.565,1.59,1.55,1.59,27030,64229.95,148405164,93336581
2017-05-18T00:00:00Z,1.55,1.55,1.54,1.54,13889,60556.3,143738339,93336581
2017-05-19T00:00:00Z,1.59,1.59,1.59,1.59,20000,60681.6,148405164,93336581
2017-05-22T00:00:00Z,1.59,1.59,1.59,1.59,23092,60746.4,148405164,93336581
2017-05-23T00:00:00Z,1.56,1.56,1.56,1.56,2500,47791.6,145605069,93336581
2017-05-24T00:00:00Z,1.56,1.56,1.54,1.54,41450,47639.85,143738339,93336581
2017-05-25T00:00:00Z,1.54,1.58,1.54,1.55,57361,47283.35,144671704,93336581
2017-05-26T00:00:00Z,1.55,1.56,1.54,1.56,198600,55757.5,145605069,93336581
2017-05-29T00:00:00Z,1.56,1.56,1.54,1.55,20546,48801.95,144671704,93336581
2017-05-30T00:00:00Z,1.55,1.55,1.55,1.55,7119,47167.45,144671704,93336581
2017-05-31T00:00:00Z,1.56,1.565,1.54,1.55,78603,48929.2,144671704,93336581
2017-06-01T00:00:00Z,1.545,1.545,1.525,1.525,78463,52596.85,142338291,93336581
2017-06-02T00:00:00Z,1.525,1.525,1.5,1.5,48788,51542.9,140004879,93336581
2017-06-05T00:00:00Z,1.48,1.48,1.47,1.475,5055,51410.85,137671467,93336581
2017-06-06T00:00:00Z,1.48,1.48,1.465,1.465,117617,57073.05,136738102,93336581
2017-06-07T00:00:00Z,1.465,1.525,1.465,1.525,84985,48801.3,142338291,93336581
2017-06-08T00:00:00Z,1.57,1.595,1.57,1.59,55309,48758.25,148405164,93336581
2017-06-09T00:00:00Z,1.595,1.63,1.595,1.62,40905,49017,151205270,93336581
2017-06-13T00:00:00Z,1.62,1.62,1.56,1.6,154731,54860.2,149338540,93336581
2017-06-14T00:00:00Z,1.6,1.625,1.6,1.6,42150,55909.65,149338540,93336581
2017-06-15T00:00:00Z,1.6,1.62,1.6,1.615,27660,55941.15,150738587,93336581
2017-06-16T00:00:00Z,1.615,1.615,1.6,1.6,69041,58698.75,149338540,93336581
2017-06-19T00:00:00Z,1.62,1.62,1.62,1.62,11990,58298.25,151205270,93336581
2017-06-20T00:00:00Z,1.6,1.615,1.6,1.615,46951,59491.2,150738587,93336581
2017-06-21T00:00:00Z,1.615,1.62,1.6,1.62,71094,62920.9,151205270,93336581
2017-06-22T00:00:00Z,1.62,1.63,1.6,1.63,32883,62492.55,152138635,93336581
2017-06-23T00:00:00Z,1.63,1.68,1.63,1.68,188676,69058.3,156805471,93336581
2017-06-26T00:00:00Z,1.68,1.7,1.65,1.7,44965,61376.55,158672201,93336581
2017-06-27T00:00:00Z,1.7,1.7,1.65,1.65,43125,62505.5,154005365,93336581
2017-06-28T00:00:00Z,1.65,1.695,1.65,1.68,62690,65284.05,156805471,93336581
2017-06-29T00:00:00Z,1.68,1.71,1.67,1.695,100742,66391,158205507,93336581
2017-06-30T00:00:00Z,1.7,1.72,1.65,1.67,44485,64692.1,155872106,93336581
2017-07-03T00:00:00Z,1.66,1.73,1.66,1.725,10239,62764.65,161227016,93336581
2017-07-04T00:00:00Z,1.69,1.725,1.69,1.725,262959,75659.85,161227016,93336581
2017-07-05T00:00:00Z,1.73,1.73,1.71,1.73,21274,70842.7,161694340,93336581
2017-07-06T00:00:00Z,1.73,1.735,1.725,1.732,38694,68528.15,161881267,93336581
2017-07-07T00:00:00Z,1.74,1.78,1.73,1.775,136531,72589.25,165900258,93336581
2017-07-10T00:00:00Z,1.76,1.82,1.75,1.82,122840,76686,170106176,93336581
2017-07-11T00:00:00Z,1.82,2.01,1.81,1.955,132984,75598.65,182723941,93336581
2017-07-12T00:00:00Z,1.945,1.95,1.88,1.89,116199,79301.1,176648726,93336581
2017-07-13T00:00:00Z,1.91,1.98,1.91,1.98,185365,87186.35,185060574,93336581
2017-07-14T00:00:00Z,1.98,1.98,1.94,1.95,43698,85919.2,182256628,93336581
2017-07-17T00:00:00Z,1.98,2.02,1.98,2.02,126625,91650.95,188799168,93336581
2017-07-18T00:00:00Z,2,2.02,2,2,125777,95592.25,186929871,93336581
2017-07-19T00:00:00Z,2,2.02,2,2.02,4777,92276.4,188799168,93336581
2017-07-20T00:00:00Z,2.01,2.01,1.99,2,119329,96598.7,186929871,93336581
2017-07-21T00:00:00Z,1.99,2.02,1.99,2.01,17855,88057.65,187864519,93336581
2017-07-24T00:00:00Z,2,2.05,2,2.05,129514,92285.1,191603113,93336581
