time,open,high,low,close,Volume,Volume MA,Total common shares outstanding,Mkt сap
2011-02-15T23:00:00Z,1.558137,1.558137,1.530062,1.537081,193893,283545.2,NaN,NaN
2011-02-16T23:00:00Z,1.523044,1.537081,1.480932,1.501988,550096,302923,NaN,NaN
2011-02-17T23:00:00Z,1.501988,1.501988,1.480932,1.487951,536059,325771.1,NaN,NaN
2011-02-20T23:00:00Z,1.487951,1.494969,1.473913,1.473913,279518,333968.9,NaN,NaN
2011-02-21T23:00:00Z,1.473913,1.501988,1.473913,1.480932,319503,342263.2,NaN,NaN
2011-02-22T23:00:00Z,1.480932,1.494969,1.480932,1.487951,600264,369598.1,NaN,NaN
2011-02-23T23:00:00Z,1.494969,1.494969,1.473913,1.480932,1127291,422085.9,NaN,NaN
2011-02-24T23:00:00Z,1.473913,1.473913,1.459876,1.459876,103371,424127.25,NaN,NaN
2011-02-27T23:00:00Z,1.452857,1.452857,1.424783,1.445839,265808,432697.5,NaN,NaN
2011-02-28T23:00:00Z,1.445839,1.494969,1.424783,1.480932,1350198,498395.95,NaN,NaN
2011-03-01T23:00:00Z,1.494969,1.516025,1.473913,1.509007,256824,504994.05,NaN,NaN
2011-03-02T23:00:00Z,1.509007,1.530062,1.494969,1.516025,407503,521883.3,NaN,NaN
2011-03-03T23:00:00Z,1.516025,1.530062,1.480932,1.494969,387345,535096.7,NaN,NaN
2011-03-06T23:00:00Z,1.501988,1.516025,1.494969,1.501988,2764626,666275.25,NaN,NaN
2011-03-07T23:00:00Z,1.509007,1.509007,1.480932,1.487951,94845,666005.55,NaN,NaN
2011-03-08T23:00:00Z,1.487951,1.501988,1.459876,1.494969,231176,561932.55,NaN,NaN
2011-03-09T23:00:00Z,1.487951,1.509007,1.480932,1.501988,519346,549241.5,NaN,NaN
2011-03-10T23:00:00Z,1.487951,1.501988,1.473913,1.480932,291371,537573.6,NaN,NaN
2011-03-13T23:00:00Z,1.487951,1.494969,1.459876,1.487951,266866,534552.85,NaN,NaN
2011-03-14T23:00:00Z,1.466895,1.480932,1.38969,1.38969,461702,550380.25,NaN,NaN
2011-03-15T23:00:00Z,1.396708,1.459876,1.382671,1.424783,433224,562346.8,NaN,NaN
2011-03-16T23:00:00Z,1.403727,1.466895,1.372143,1.417764,260387,547861.35,NaN,NaN
2011-03-17T23:00:00Z,1.466895,1.466895,1.403727,1.403727,253907,533753.75,NaN,NaN
2011-03-20T23:00:00Z,1.417764,1.43882,1.403727,1.403727,199109,529733.3,NaN,NaN
2011-03-21T23:00:00Z,1.410746,1.424783,1.403727,1.403727,161436,521829.95,NaN,NaN
2011-03-22T23:00:00Z,1.403727,1.417764,1.396708,1.396708,297295,506681.5,NaN,NaN
2011-03-23T23:00:00Z,1.38969,1.38969,1.358106,1.368634,388631,469748.5,NaN,NaN
2011-03-24T23:00:00Z,1.368634,1.368634,1.351087,1.361615,299206,479540.25,NaN,NaN
2011-03-27T23:00:00Z,1.354596,1.361615,1.344069,1.361615,190425,475771.1,NaN,NaN
2011-03-28T23:00:00Z,1.351087,1.361615,1.340559,1.361615,137567,415139.55,NaN,NaN
2011-03-29T23:00:00Z,1.361615,1.368634,1.344069,1.361615,547727,429684.7,NaN,NaN
2011-03-30T23:00:00Z,1.358106,1.368634,1.354596,1.368634,318391,425229.1,NaN,NaN
2011-03-31T23:00:00Z,1.368634,1.379162,1.354596,1.368634,827575,447240.6,NaN,NaN
2011-04-04T00:00:00Z,1.365125,1.375652,1.354596,1.368634,328886,325453.6,NaN,NaN
2011-04-05T00:00:00Z,1.368634,1.424783,1.368634,1.403727,843841,362903.4,NaN,NaN
2011-04-06T00:00:00Z,1.403727,1.403727,1.38618,1.38618,301026,366395.9,NaN,NaN
2011-04-07T00:00:00Z,1.38969,1.43882,1.38969,1.424783,329478,356902.5,NaN,NaN
2011-04-08T00:00:00Z,1.43882,1.445839,1.424783,1.424783,151406,349904.25,NaN,NaN
2011-04-11T00:00:00Z,1.43882,1.452857,1.43882,1.452857,237635,348442.7,NaN,NaN
2011-04-12T00:00:00Z,1.43882,1.445839,1.431802,1.445839,506479,350681.55,NaN,NaN
2011-04-13T00:00:00Z,1.431802,1.452857,1.417764,1.43882,319564,344998.55,NaN,NaN
2011-04-14T00:00:00Z,1.459876,1.473913,1.445839,1.459876,332264,348592.4,NaN,NaN
2011-04-15T00:00:00Z,1.466895,1.473913,1.452857,1.473913,247112,348252.65,NaN,NaN
2011-04-18T00:00:00Z,1.473913,1.473913,1.459876,1.459876,126710,344632.7,NaN,NaN
2011-04-19T00:00:00Z,1.459876,1.466895,1.424783,1.43882,287166,350919.2,NaN,NaN
2011-04-20T00:00:00Z,1.452857,1.459876,1.431802,1.43882,178476,344978.25,NaN,NaN
2011-04-21T00:00:00Z,1.445839,1.459876,1.43882,1.445839,147808,332937.1,NaN,NaN
2011-04-27T00:00:00Z,1.445839,1.459876,1.445839,1.452857,112725,323613.05,NaN,NaN
2011-04-28T00:00:00Z,1.466895,1.466895,1.43882,1.466895,153178,321750.7,NaN,NaN
2011-04-29T00:00:00Z,1.466895,1.466895,1.445839,1.459876,142081,321976.4,NaN,NaN
2011-05-02T00:00:00Z,1.459876,1.487951,1.452857,1.487951,222778,305728.95,NaN,NaN
2011-05-03T00:00:00Z,1.480932,1.487951,1.473913,1.473913,166449,298131.85,NaN,NaN
2011-05-04T00:00:00Z,1.480932,1.480932,1.445839,1.466895,141928,263849.5,NaN,NaN
2011-05-05T00:00:00Z,1.466895,1.473913,1.459876,1.466895,66284,250719.4,NaN,NaN
2011-05-06T00:00:00Z,1.466895,1.473913,1.452857,1.459876,134756,215265.15,NaN,NaN
2011-05-09T00:00:00Z,1.466895,1.473913,1.43882,1.445839,116275,206027.6,NaN,NaN
2011-05-10T00:00:00Z,1.445839,1.452857,1.431802,1.43882,97521,194429.75,NaN,NaN
2011-05-11T00:00:00Z,1.452857,1.473913,1.445839,1.473913,78388,190778.85,NaN,NaN
2011-05-12T00:00:00Z,1.452857,1.466895,1.403727,1.410746,536450,205719.6,NaN,NaN
2011-05-13T00:00:00Z,1.459876,1.459876,1.403727,1.417764,69606,183875.95,NaN,NaN
2011-05-16T00:00:00Z,1.431802,1.431802,1.382671,1.400218,38652,169830.35,NaN,NaN
2011-05-17T00:00:00Z,1.382671,1.400218,1.375652,1.375652,292339,167834.1,NaN,NaN
2011-05-18T00:00:00Z,1.375652,1.403727,1.375652,1.396708,50625,158009.75,NaN,NaN
2011-05-19T00:00:00Z,1.403727,1.403727,1.382671,1.382671,113903,157369.4,NaN,NaN
2011-05-20T00:00:00Z,1.375652,1.375652,1.361615,1.368634,73014,146661.8,NaN,NaN
